date,region,product_category,sales_rep,revenue,units_sold,channel
2024-01-03,East,Consulting,Conor Brien,8279.55,17,Partner
2024-01-04,West,Hardware,Padraig O'Sullivan,1705.14,34,Partner
2024-01-10,East,Support,Declan Hayes,9693.01,21,In-Store
2024-01-10,East,Software,Claire Fitzpatrick,7764.39,18,Online
2024-01-11,East,Hardware,Niamh Walsh,10666.71,36,Online
2024-01-11,North,Consulting,Aoife Murphy,1164.9,16,Partner
2024-01-11,West,Support,Aoife Murphy,3249.63,6,Partner
2024-01-16,East,Hardware,Niamh Walsh,10623.2,2,Partner
2024-01-20,East,Support,Declan Hayes,4287.89,15,Online
2024-01-21,South,Software,Declan Hayes,5601.83,35,In-Store
2024-01-23,South,Software,Conor Brien,11322.52,14,Online
2024-01-23,Midlands,Training,Padraig O'Sullivan,8100.61,40,Partner
2024-01-29,South,Support,Sinead Ryan,5325.56,9,Partner
2024-02-02,North,Hardware,Sinead Ryan,7754.29,18,In-Store
2024-02-03,North,Hardware,Aoife Murphy,3068.36,34,In-Store
2024-02-04,Midlands,Consulting,Declan Hayes,6288.94,39,Partner
2024-02-05,Midlands,Consulting,Padraig O'Sullivan,6772.33,17,In-Store
2024-02-05,East,Support,Claire Fitzpatrick,10750.35,39,Online
2024-02-08,Midlands,Training,Aoife Murphy,6296.57,35,Online
2024-02-09,Midlands,Consulting,Sean Kelly,3139.37,34,Online
2024-02-10,West,Software,Padraig O'Sullivan,10766.31,16,In-Store
2024-02-11,South,Software,Padraig O'Sullivan,10455.14,15,In-Store
2024-02-12,North,Hardware,Sean Kelly,4145.65,8,Online
2024-02-12,West,Hardware,Claire Fitzpatrick,7783.74,14,Partner
2024-02-13,North,Software,Sean Kelly,2252.64,27,Partner
2024-02-14,North,Software,Sean Kelly,1012.74,18,Online
2024-02-15,Midlands,Software,Padraig O'Sullivan,11615.96,14,Online
2024-02-22,West,Software,Claire Fitzpatrick,8247.02,26,In-Store
2024-02-23,South,Training,Aoife Murphy,9742.35,26,Online
2024-02-27,Midlands,Training,Conor Brien,6647.52,11,Online
2024-02-27,Midlands,Software,Niamh Walsh,7935.46,13,Online
2024-03-05,Midlands,Training,Claire Fitzpatrick,4060.16,2,Partner
2024-03-06,Midlands,Hardware,Padraig O'Sullivan,6579.71,15,Partner
2024-03-09,West,Hardware,Niamh Walsh,3673.12,34,Partner
2024-03-09,South,Consulting,Aoife Murphy,8698.92,4,In-Store
2024-03-10,North,Software,Niamh Walsh,3437.64,34,Partner
2024-03-16,East,Consulting,Niamh Walsh,8378.02,13,Partner
2024-03-17,Midlands,Software,Aoife Murphy,8042.06,11,Partner
2024-03-18,West,Hardware,Padraig O'Sullivan,11404.82,34,Online
2024-03-18,Midlands,Support,Sean Kelly,2129.61,19,Online
2024-03-19,South,Support,Aoife Murphy,6780.07,36,Online
2024-03-19,West,Hardware,Sean Kelly,5243.8,22,Partner
2024-03-20,West,Hardware,Niamh Walsh,5925.59,39,Partner
2024-03-22,East,Support,Niamh Walsh,4216.67,17,Partner
2024-03-22,Midlands,Hardware,Sinead Ryan,4404.91,23,In-Store
2024-03-24,West,Software,Niamh Walsh,2260.15,28,Online
2024-03-25,South,Training,Aoife Murphy,1204.79,22,In-Store
2024-03-27,Midlands,Software,Aoife Murphy,1168.94,23,Online
